PARCELID,zonecode
M240320004800,SR
M240320004202,SR
M240320004100,SR
M240320004200,SR
M240320004201,SR
M240320004700,SR
M240320004701,SR
M240320004000,SR
M240320005500,SR
M240320003900,SR
M240320004600,SR
M240320005100,SR
M240320005700,SR
M240320005600,SR
M240320005200,SR
M240270007100,SR
M240260000300,SR
M240270001500,SR
M240270002000,SR
M240270001700,I
M240270001800,SR
M240270002100,SR
M240270001900,SR
M240270000700,AR
M240270000500,AR
M240270000600,AR
M240270000400,AR
M240270000201,SR
M240270000300,AR
M240270000200,SR
M240270000402,AR
M240150004000,SR
M240150004100,SR
M240260000202,SR
M240260000201,SR
M240270002001,SR
M240270002002,SR
M240150004801,SR
M240150004800,SR
M240150004400,SR
M240150005005,SR
M240150005004,SR
M240150005007,SR
M240150005006,SR
M240150001801,SR
M240320003100,I
M240320003801,SR
M240200002301,UR
M240210006601,UR
M240290008900,CB
M240280003001,I
M240210004701,UR
M240050000600,UR
M240190006201,UR
M240050008401,UR
M240220012300,DE
M240220012300,DE
M240330013002,RC
M240330012501,RC
M240300000501,UR
M240300000601,UR
M240220003201,CB
M240120015901,DE
M240120001701,UR
M240270008300,CB
M240020011200,SU
M240230027503,UR
M240280000201,M*
M240080003101,UR
M240080006101,UR
M240310005002,SU
M240330009100,SR
M240330009101,SR
M240200002800,UR
M240280004501,UR
M240330005201,SR
M240060006901,UR
M240310004900,SU
M240280000100,M*
M240310000101,SR
J180020003400,SR
M240310005001,SU
M240310004900,SU
M240310004900,SU
M240310000300,SR
J180040000300,SR
J180040000301,SR
M240330006300,SR
M240330006501,SR
M240330006400,SR
M240330006700,SR
M240330006800,SR
M240330006900,SR
M240330007000,SR
M240330006300,SR
M240330007600,SR
M240330005800,SR
M240330005900,SR
M240330006200,SR
M240330006600,SR
M240330006500,SR
M240330006100,SR
M240310001600,SR
M240330005700,SR
M240310001600,SR
M240310001700,SR
M240310008200,SR
M240310000700,SR
M240310001300,SR
M240310001400,SR
M240310001200,SR
M240310001000,SR
M240310003000,SR
M240310007900,SR
M240310007800,SR
M240310007700,SR
M240310007600,SR
M240310007500,SR
M240310007400,SR
M240310002400,SR
M240310007300,SR
M240310007200,SR
M240310007100,SR
M240310006900,SR
M240310006800,SR
M240310003201,SR
M240310006500,SR
M240310002400,SR
M240310001800,SR
M240310001900,SR
M240310002000,SR
M240310002100,SR
M240310002200,SR
M240310002300,SR
M240310002500,SR
M240310002600,SR
M240310002700,SR
M240310002800,SR
M240310002900,SR
M240310003100,SR
M240310008100,SR
M240310008000,SR
M240310007900,SR
M240310007800,SR
M240310007700,SR
M240310007600,SR
M240310007500,SR
M240310007400,SR
M240310002400,SR
M240310007300,SR
M240310007200,SR
M240310007100,SR
M240310006900,SR
M240310007000,SR
M240310006600,SR
M240310006700,SR
M240310006800,SR
M240310003200,SR
M240310003300,SR
M240310003201,SR
M240310006500,SR
M240310000100,SR
M240310000601,SR
M240310000800,SR
M240310000600,SR
M240310003600,SR
M240310003700,SR
M240310003800,SR
M240310004000,SR
M240310004100,SR
M240310004200,SR
M240310004300,SR
M240310004400,SR
M240310004500,SR
M240310005500,SR
M240310006400,SR
M240310006300,SR
M240310003601,SR
M240310003701,SR
M240310006200,SR
M240310006100,SR
M240310006000,SR
M240310005900,SR
M240310005800,SR
M240310005700,SR
M240310005600,SR
M240310004600,SR
M240310004900,SU
M240310004700,SR
M240250006600,SR
M240250006700,SR
M240250006800,SR
M240250006900,SR
M240250007000,SR
M240250007100,SR
M240250001800,SR
M240310005300,SR
M240310005000,SU
M240310005400,SR
M240310005001,SU
M240310005001,SU
M240310005001,SU
M240310032805,SU
M240310032802,SU
M240310032700,SU
M240310032804,SU
M240310032803,SU
M240310000400,SR
M240310000200,SR
M240250001600,SR
M240250001200,SR
M240250001300,SR
M240250001100,SR
M240250001000,SR
M240250000900,SR
M240310003400,SR
M240310003500,SR
M240310006400,SR
M240310006300,SR
M240310003601,SR
M240310003701,SR
M240310006200,SR
M240310006100,SR
M240310006000,SR
M240310005900,SR
M240310005800,SR
M240310005700,SR
M240310005600,SR
M240310004600,SR
M240310004700,SR
M240310012100,SR
M240310011700,SR
M240310005000,SU
M240310005500,SR
M240310005100,SR
M240310005200,SR
M240310005400,SR
M240310005300,SR
M240250001800,SR
M240250001801,SR
M240250001802,SR
M240250001900,SR
M240250002000,SR
M240250002100,SR
M240250002200,SR
M240250002300,SR
M240250002400,SR
M240250007100,SR
M240250007000,SR
M240250006900,SR
M240250006800,SR
M240250006700,SR
M240250006600,SR
M240250006500,SR
M240250007200,SR
M240250007300,SR
M240250007400,SR
M240250007500,SR
M240250007600,SR
M240250007700,SR
M240250007800,SR
M240250007900,SR
M240110009100,CB
M240110009200,CB
M240120013600,DE
M240120013400,DE
M240110017501,DE
M240110021300,CB
M240110017501,CB
M240110017500,I
M240110021300,I
M240110021200,I
M240110021300,I
M240120008500,DE
M240110017200,AR
M240110017300,AR
M240110017400,AR
M240110017000,AR
M240110017100,AR
M240110009500,I
M240110009300,AR
M240110017700,UR
M240110017700,I
M240110016900,I
M240110016800,I
M240110016700,I
M240110009700,I
M240110009600,I
M240110009800,I
M240110009900,I
M240110010000,I
M240110021100,UR
M240110021000,UR
M240110020900,UR
M240110020800,UR
M240110020700,UR
M240110020600,UR
M240110017800,UR
M240110017900,UR
M240110018000,UR
M240110016500,UR
M240110016600,UR
M240110016300,UR
M240110016400,UR
M240110010100,UR
M240110010200,UR
M240110010300,UR
M240110010400,UR
M240120009400,DE
M240120009300,DE
M240120009200,DE
M240120009000,DE
M240120009100,DE
M240120007000,DE
M240120006900,DE
M240120007100,DE
M240120007400,DE
M240120007300,DE
M240120007200,DE
M240120009700,UR
M240120009701,UR
M240120009600,DE
M240120009500,DE
M240120006400,UR
M240120006500,UR
M240120006800,DE
M240120006600,UR
M240120006700,DE
M240120004000,UR
M240050008800,UR
M240050008700,UR
M240050003900,UR
M240050003800,UR
M240050008600,UR
M240050008500,UR
M240050004000,UR
M240050004100,UR
M240050004200,UR
M240050004300,UR
M240230028801,UR
M240230028401,UR
M240220004600,CB
M240230024300,UR
M240230024700,UR
M240230029000,UR
M240230028800,CB
M240230028700,UR
M240230028600,CB
M240230028500,CB
M240230024900,UR
M240230028400,UR
M240230028300,UR
M240230028200,UR
M240230028100,UR
M240230028000,UR
M240230027900,UR
M240220004700,CB
M240220004800,CB
M240220005100,CB
M240220005000,CB
M240220005300,CB
M240220005200,CB
M240220005400,CB
M240220005500,CB
M240220005600,CB
M240220005700,CB
M240220005800,CB
M240220005900,CB
M240220006000,CB
M240220006100,CB
M240220006200,CB
M240220006300,CB
M240090010200,UR
M240090005400,UR
M240090010100,UR
M240090010000,UR
M240090005500,UR
M240090005501,UR
M240090005300,UR
M240090000100,UR
M240090005200,UR
M240090005100,UR
M240090000200,UR
M240060007000,UR
M240060006900,UR
M240300000500,UR
M240300000600,UR
M240300000700,UR
