precinct,precinctLeader,giellis,heffernan,simpson,scott,calderon,giavanni,hancock,fiorino,tate,evans
436,Michael B. Hancock,0.1608,0.0627,,,0.2745,,0.4,,0.0745,0.0275
501,Michael B. Hancock,0.1518,0.0466,,,0.2571,,0.4413,,0.0951,0.0081
502,Michael B. Hancock,0.1457,0.0563,,,0.255,,0.4305,,0.0993,0.0132
503,Michael B. Hancock,0.0857,0.0486,,,0.3229,,0.4457,,0.0771,0.02
504,Michael B. Hancock,0.0897,0.0598,,,0.3256,,0.4751,,0.0332,0.0166
505,Michael B. Hancock,0.1609,0.0371,,,0.255,,0.4728,,0.0668,0.0074
506,Michael B. Hancock,0.1891,0.0187,,,0.3165,,0.3633,,0.1086,0.0037
507,Michael B. Hancock,0.1875,0.0332,,,0.2832,,0.4121,,0.0723,0.0117
508,Michael B. Hancock,0.2283,0.013,,,0.213,,0.4391,,0.1022,0.0043
509,Michael B. Hancock,0.2131,0.0211,,,0.2194,0.0042,0.4494,,0.0928,0
510,Lisa Calderón,0.2336,0.0533,,,0.3033,,0.2787,,0.1189,0.0123
511,Michael B. Hancock,0.2526,0.04,,,0.1558,,0.3916,,0.1516,0.0084
512,Michael B. Hancock,0.2819,0.0067,,,0.1611,,0.4362,,0.1119,0.0022
513,Michael B. Hancock,0.2778,0.0102,,,0.0936,,0.5073,,0.1082,0.0029
514,Michael B. Hancock,0.255,0.0396,,,0.1337,0.005,0.4455,,0.1163,0.005
515,Michael B. Hancock,0.267,0.0353,,,0.1914,,0.3879,,0.1058,0.0126
516,Michael B. Hancock,0.1519,0.0389,,,0.3074,,0.4099,,0.0883,0.0035
517,Michael B. Hancock,0.2771,0.0193,,,0.1157,,0.4699,,0.1181,0
518,Michael B. Hancock,0.2493,0.0164,,,0.0767,,0.5014,,0.1507,0.0055
519,Michael B. Hancock,0.2522,0.0203,,,0.1768,,0.3971,,0.1478,0.0058
520,Michael B. Hancock,0.1626,0.0461,,,0.2087,,0.4363,0.0054,0.1274,0.0136
521,Michael B. Hancock,0.2005,0.0315,,0.0023,0.2883,,0.3829,,0.0856,0.009
522,Michael B. Hancock,0.2553,0.0288,,,0.2207,,0.3954,,0.0998,0
523,Michael B. Hancock,0.2688,0.0125,,,0.1125,,0.4656,,0.1375,0.0031
524,Michael B. Hancock,0.2545,0.0411,,,0.1084,0.0016,0.4663,,0.1248,0.0033
